EventId,EventTemplate
1,.*Database connection successful.*
2,.*Order data query successful.*
3,.*Order update successful.*
4,.*Order deletion successful.*
5,.*Order insertion successful.*
6,.*Order data query failed.*
7,.*Order update failed.*
8,.*Order deletion failed.*
9,.*Order insertion failed.*
10,.*Payment data query successful.*
11,.*Payment deletion successful.*
12,.*Payment insertion successful.*
13,.*Payment update successful.*
14,.*Payment data query failed.*
15,.*Payment deletion failed.*
16,.*Payment insertion failed.*
17,.*Payment update failed.*
18,.*User data query successful.*
19,.*User update successful.*
20,.*User deletion successful.*
21,.*User insertion successful.*
22,.*User data query failed.*
23,.*User update failed.*
24,.*User deletion failed.*
25,.*User insertion failed.*
26,.*Driver data query successful.*
27,.*Driver insertion successful.*
28,.*Driver deletion successful.*
29,.*Driver update successful.*
30,.*Driver data query failed.*
31,.*Driver insertion failed.*
32,.*Driver deletion failed.*
33,.*Driver update failed.*
34,.*floating point alignment exceptions.*
35,.*select.* query successful.*
36,.*select.* query failed.*
37,.*update.* execution failed.*
38,.*update.* execution successful.*
39,.*Task .*: API call successful.*
40,.*Task .*: API call failed.*
41,.*:.* .*:.*

