sequence,label
"[1, 1, 1, 1, 1, 2, 18, 28, 4, 5, 1, 1, 1, 1, 1, 10, 27, 18, 26, 5, 27, 10, 18, 28, 1, 1, 1, 1, 1, 18, 27, 4, 26, 28, 26, 10, 29, 26, 18, 3, 11, 1, 1, 1, 1, 2, 1, 18, 16, 12, 2, 2, 11, 29, 10, 29, 26, 18, 18, 2, 4, 4, 20, 1, 1, 1, 1, 2, 2, 1, 18, 2, 4, 11, 21, 5, 2, 16, 11, 26, 10, 28, 29, 1, 1, 1, 1, 1, 25, 16, 4, 4, 26, 11, 2, 5, 18, 10, 2, 2, 12, 10, 10, 10, 2, 16, 26, 10, 10, 10, 1, 1, 1, 1, 1, 25, 10, 26, 26, 2, 26, 2, 2, 5, 18, 5, 2, 2, 2, 2, 2, 21, 4, 21, 12, 18, 26, 2, 2, 2, 26, 21, 12, 20, 4, 1, 1, 1, 1, 1, 2, 18, 28, 12, 12, 18, 27, 5, 26, 27, 26, 26, 5, 18, 18, 18, 21, 2, 27, 16, 2, 27]",1
"[1, 1, 1, 2, 2, 1, 18, 2, 4, 11, 21, 5, 2, 16, 11, 26, 10, 28, 29, 1, 1, 1, 1, 1, 25, 16, 4, 4, 26, 11, 2, 5, 18, 10, 2, 2, 12, 10, 10, 10, 2, 16, 26, 10, 10, 10, 1, 1, 1, 1, 1, 25, 10, 26, 26, 2, 26, 2, 2, 5, 18, 5, 2, 2, 2, 2, 2, 21, 4, 21, 12, 18, 26, 2, 2, 2, 26, 21, 12, 20, 4, 1, 1, 1, 1, 1, 2, 18, 28, 12, 12, 18, 27, 5, 26, 27, 26, 26, 5, 18, 18, 18, 21, 2, 27, 16, 2, 27, 1, 1, 1, 1, 1, 2, 18, 26, 18, 2, 11, 20, 10, 5, 10, 11, 16, 26, 4, 2, 29, 26, 5, 26, 26, 21, 4, 5, 10, 2, 26, 26, 18, 10, 26, 5, 21, 2, 1, 1, 1, 21, 1, 1, 18, 2, 18, 2, 26, 2, 27, 5, 27, 12, 29, 26, 12, 10, 26, 11, 18, 26, 19, 2, 27, 26, 18, 10, 29, 27, 21, 2, 20, 2, 2, 27, 10, 5, 16, 26, 23, 2, 3, 26, 2, 21, 12, 18, 10, 18, 26, 2, 2, 10, 29, 5, 21, 19, 10, 18]",1
"[1, 1, 1, 1, 1, 2, 18, 26, 18, 2, 11, 20, 10, 5, 10, 11, 16, 26, 4, 2, 29, 26, 5, 26, 26, 21, 4, 5, 10, 2, 26, 26, 18, 10, 26, 5, 21, 2, 1, 1, 1, 21, 1, 1, 18, 2, 18, 2, 26, 2, 27, 5, 27, 12, 29, 26, 12, 10, 26, 11, 18, 26, 19, 2, 27, 26, 18, 10, 29, 27, 21, 2, 20, 2, 2, 27, 10, 5, 16, 26, 23, 2, 3, 26, 2, 21, 12, 18, 10, 18, 26, 2, 2, 10, 29, 5, 21, 19, 10, 18, 2, 26, 18, 2, 3, 18, 10, 18, 26, 2, 10, 2, 18, 4, 5, 18, 26, 5, 21, 27, 5, 27, 26, 27, 18, 26, 18, 10, 2, 10, 26, 2, 2, 5, 10, 2, 26, 29, 2, 21, 27, 12, 27, 12, 29, 3, 10, 21, 18, 5, 11, 10, 10, 26, 26, 18, 18, 5, 2, 10, 10, 2, 10, 10, 5, 28, 2, 2, 18, 10, 3, 12, 2, 2, 2, 26, 18, 29, 2, 2, 18, 18, 29, 28, 29, 27, 27, 27, 21, 5, 10, 26, 21, 16, 2, 19, 28, 27, 26, 16, 5, 25, 26, 18, 10, 18, 20, 29, 28, 27, 10, 2, 5, 5, 2, 21, 16, 27, 5, 2, 18, 2, 18, 27, 18, 18, 18]",1
"[2, 26, 18, 2, 3, 18, 10, 18, 26, 2, 10, 2, 18, 4, 5, 18, 26, 5, 21, 27, 5, 27, 26, 27, 18, 26, 18, 10, 2, 10, 26, 2, 2, 5, 10, 2, 26, 29, 2, 21, 27, 12, 27, 12, 29, 3, 10, 21, 18, 5, 11, 10, 10, 26, 26, 18, 18, 5, 2, 10, 10, 2, 10, 10, 5, 28, 2, 2, 18, 10, 3, 12, 2, 2, 2, 26, 18, 29, 2, 2, 18, 18, 29, 28, 29, 27, 27, 27, 21, 5, 10, 26, 21, 16, 2, 19, 28, 27, 26, 16, 5, 25, 26, 18, 10, 18, 20, 29, 28, 27, 10, 2, 5, 5, 2, 21, 16, 27, 5, 2, 18, 2, 18, 27, 18, 18, 18, 2, 2, 26, 10, 2, 18, 5, 10, 10, 18, 28, 18, 18, 2, 20, 27, 18, 19, 20, 10, 5, 26, 2, 10, 26, 18, 4, 18, 2, 10, 29, 18, 10, 28, 26, 26, 27, 28, 12, 18, 29, 2, 16, 18, 26, 26, 12, 2, 10, 10, 16, 12, 18, 11, 4, 28, 29, 10, 21, 28, 18, 2, 10, 19, 18, 21, 2, 2, 2, 10, 26, 26, 18, 3, 26, 26, 12, 18, 18, 25, 27, 20, 29, 21, 11, 26, 26, 2, 18, 26, 26, 20, 10, 2, 26, 27, 2, 2, 20, 26, 10]",1
"[2, 2, 26, 10, 2, 18, 5, 10, 10, 18, 28, 18, 18, 2, 20, 27, 18, 19, 20, 10, 5, 26, 2, 10, 26, 18, 4, 18, 2, 10, 29, 18, 10, 28, 26, 26, 27, 28, 12, 18, 29, 2, 16, 18, 26, 26, 12, 2, 10, 10, 16, 12, 18, 11, 4, 28, 29, 10, 21, 28, 18, 2, 10, 19, 18, 21, 2, 2, 2, 10, 26, 26, 18, 3, 26, 26, 12, 18, 18, 25, 27, 20, 29, 21, 11, 26, 26, 2, 18, 26, 26, 20, 10, 2, 26, 27, 2, 2, 20, 26, 10, 26, 25, 26, 18, 2, 16, 2, 5, 26, 12, 10, 26, 27, 18, 18, 18, 12, 26, 28, 18, 26, 18, 16, 2, 10, 10, 18, 16, 5, 27, 3, 4, 21, 2, 26, 23, 23, 5, 18, 4, 20, 27, 26, 29, 10, 26, 2, 26, 18, 12, 18, 26, 26, 29, 23, 21, 27, 2, 10, 3, 18, 18, 2, 2, 28, 26, 3, 18, 21, 10, 18, 21, 29, 19, 11, 10, 10, 18, 5, 4, 21, 10, 26, 12, 21, 18, 19, 4, 11, 21, 21, 18, 10, 10, 2, 27, 18, 20, 10, 5, 18, 2, 2, 10, 26, 27, 3, 18, 21, 18, 2, 26, 26, 18, 16, 27, 5, 2, 10, 28, 5, 18, 10, 18, 11, 16, 26]",1
"[26, 25, 26, 18, 2, 16, 2, 5, 26, 12, 10, 26, 27, 18, 18, 18, 12, 26, 28, 18, 26, 18, 16, 2, 10, 10, 18, 16, 5, 27, 3, 4, 21, 2, 26, 23, 23, 5, 18, 4, 20, 27, 26, 29, 10, 26, 2, 26, 18, 12, 18, 26, 26, 29, 23, 21, 27, 2, 10, 3, 18, 18, 2, 2, 28, 26, 3, 18, 21, 10, 18, 21, 29, 19, 11, 10, 10, 18, 5, 4, 21, 10, 26, 12, 21, 18, 19, 4, 11, 21, 21, 18, 10, 10, 2, 27, 18, 20, 10, 5, 18, 2, 2, 10, 26, 27, 3, 18, 21, 18, 2, 26, 26, 18, 16, 27, 5, 2, 10, 28, 5, 18, 10, 18, 11, 16, 26, 2, 5, 27, 4, 26, 27, 23, 3, 18, 18, 18, 5, 29, 18, 26, 16, 27, 2, 12, 18, 5, 5, 2, 2, 4, 25, 10, 12, 10, 2, 27, 10, 20, 26, 4, 10, 5, 12, 18, 28, 26, 18, 10, 27, 27, 19, 2, 10, 18, 18, 10, 18, 2, 2, 18, 21, 10, 26, 5, 26, 26, 2, 18, 10, 27, 2, 2, 27, 11, 16, 10, 2, 27, 18, 10, 2, 18, 16, 18, 12, 3, 11, 18, 18, 10, 2, 10, 10, 28, 18, 27, 29, 27, 18, 2, 26, 2, 23, 18, 2, 21, 10, 21, 18, 10, 18, 10, 2, 2, 2, 2, 28, 10, 26, 2, 12, 18, 11, 5, 2, 26, 28, 2, 10, 10, 18, 12, 28, 10]",1
"[2, 5, 27, 4, 26, 27, 23, 3, 18, 18, 18, 5, 29, 18, 26, 16, 27, 2, 12, 18, 5, 5, 2, 2, 4, 25, 10, 12, 10, 2, 27, 10, 20, 26, 4, 10, 5, 12, 18, 28, 26, 18, 10, 27, 27, 19, 2, 10, 18, 18, 10, 18, 2, 2, 18, 21, 10, 26, 5, 26, 26, 2, 18, 10, 27, 2, 2, 27, 11, 16, 10, 2, 27, 18, 10, 2, 18, 16, 18, 12, 3, 11, 18, 18, 10, 2, 10, 10, 28, 18, 27, 29, 27, 18, 2, 26, 2, 23, 18, 2, 21, 10, 21, 18, 10, 18, 10, 2, 2, 2, 2, 28, 10, 26, 2, 12, 18, 11, 5, 2, 26, 28, 2, 10, 10, 18, 12, 28, 10, 10, 16, 10, 10, 10, 16, 10, 27, 21, 27, 11, 21, 5, 5, 18, 18, 20, 29, 2, 18, 27, 10, 26, 21, 12, 18, 10, 11, 26, 19, 26, 26, 2, 20, 29, 2, 25, 10, 20, 11, 25, 2, 2, 26, 10, 28, 10, 27, 10, 11, 2, 18, 5, 18, 2, 10, 21, 5, 26, 26, 2, 18, 19, 2, 18, 2, 18, 11, 2, 26, 10, 2, 16, 10, 10, 2, 18, 10, 2, 10, 2, 2, 18, 18, 18, 5, 10, 5, 18, 18, 26, 13, 20, 18, 23, 26, 10, 21, 26, 21, 4, 25, 5, 5]",1
"[10, 16, 10, 10, 10, 16, 10, 27, 21, 27, 11, 21, 5, 5, 18, 18, 20, 29, 2, 18, 27, 10, 26, 21, 12, 18, 10, 11, 26, 19, 26, 26, 2, 20, 29, 2, 25, 10, 20, 11, 25, 2, 2, 26, 10, 28, 10, 27, 10, 11, 2, 18, 5, 18, 2, 10, 21, 5, 26, 26, 2, 18, 19, 2, 18, 2, 18, 11, 2, 26, 10, 2, 16, 10, 10, 2, 18, 10, 2, 10, 2, 2, 18, 18, 18, 5, 10, 5, 18, 18, 26, 13, 20, 18, 23, 26, 10, 21, 26, 21, 4, 25, 5, 5, 18, 11, 18, 5, 27, 5, 25, 26, 26, 2, 27, 10, 10, 18, 12, 18, 19, 25, 10, 12, 2, 21, 2, 26, 2, 2, 21, 12, 11, 5, 26, 25, 19, 5, 16, 26, 10, 2, 21, 20, 27, 20, 26, 12, 18, 11, 10, 18, 29, 11, 26, 16, 10, 19, 18, 10, 11, 2, 18, 16, 18, 2, 18, 10, 5, 25, 26, 2, 10, 3, 11, 2, 2, 26, 2, 19, 26, 26, 10, 10, 10, 12, 21, 27, 2, 5, 5, 18, 19, 2, 26, 29, 10, 18, 26, 12, 10, 18, 20, 26, 21, 21, 5, 11, 4, 27, 4, 10, 20, 26, 18, 20, 26, 18, 10, 26, 2, 10]",1
"[18, 11, 18, 5, 27, 5, 25, 26, 26, 2, 27, 10, 10, 18, 12, 18, 19, 25, 10, 12, 2, 21, 2, 26, 2, 2, 21, 12, 11, 5, 26, 25, 19, 5, 16, 26, 10, 2, 21, 20, 27, 20, 26, 12, 18, 11, 10, 18, 29, 11, 26, 16, 10, 19, 18, 10, 11, 2, 18, 16, 18, 2, 18, 10, 5, 25, 26, 2, 10, 3, 11, 2, 2, 26, 2, 19, 26, 26, 10, 10, 10, 12, 21, 27, 2, 5, 5, 18, 19, 2, 26, 29, 10, 18, 26, 12, 10, 18, 20, 26, 21, 21, 5, 11, 4, 27, 4, 10, 20, 26, 18, 20, 26, 18, 10, 26, 2, 10, 26, 5, 2, 5, 5, 11, 11, 18, 23, 25, 2, 11, 27, 18, 26, 2, 5, 10, 12, 28, 26, 26, 27, 10, 2, 21, 26, 26, 10, 27, 2, 12, 10, 18, 18, 26, 20, 11, 29, 18, 26, 19, 2, 2, 18, 2, 18, 26, 28, 2, 26, 10, 26, 26, 28, 18, 10, 20, 2, 26, 18, 26, 18, 27, 2, 10, 4, 16, 29, 18, 5, 29, 18, 18, 18, 10, 26, 10, 18, 10, 26, 26, 27, 21, 10, 18, 2, 18, 10, 5, 12, 18, 26, 26, 16, 20, 11, 26, 2, 10]",1
"[26, 5, 2, 5, 5, 11, 11, 18, 23, 25, 2, 11, 27, 18, 26, 2, 5, 10, 12, 28, 26, 26, 27, 10, 2, 21, 26, 26, 10, 27, 2, 12, 10, 18, 18, 26, 20, 11, 29, 18, 26, 19, 2, 2, 18, 2, 18, 26, 28, 2, 26, 10, 26, 26, 28, 18, 10, 20, 2, 26, 18, 26, 18, 27, 2, 10, 4, 16, 29, 18, 5, 29, 18, 18, 18, 10, 26, 10, 18, 10, 26, 26, 27, 21, 10, 18, 2, 18, 10, 5, 12, 18, 26, 26, 16, 20, 11, 26, 2, 10, 10, 20, 18, 2, 10, 18, 18, 29, 27, 19, 20, 16, 21, 16, 16, 21, 26, 2, 12, 18, 27, 10, 12, 5, 10, 18, 26, 5, 2, 26, 27, 2, 26, 10, 28, 26, 27, 26, 26, 18, 19, 26, 12, 25, 16, 10, 2, 5, 5, 26, 16, 26, 2, 2, 26, 27, 18, 28, 18, 18, 26, 26, 10, 26, 20, 11, 27, 10, 18, 11, 5, 21, 27, 25, 26, 20, 10, 18, 10, 5, 10, 25, 26, 26, 21, 18, 12, 5, 27, 26, 2, 26, 2, 18, 10, 18, 18, 2, 28, 11, 21, 18, 10, 10, 2, 12, 2, 11, 5, 10, 10, 23, 25, 10, 29, 29, 2, 5, 10, 18, 2, 26, 28, 10]",1
